cat_url,product_url,category,side_bar_item,side_bar_url
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-look-ped-kua-kling-80g-8857127281582,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-maethongyun-jaew-hon-instant-soup-pork-flavor-350g-8857128663011,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-ilah-kumpang-fermented-fish-paste-hot-spicy-flavor-40g-8857126126051,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-tomato-juice-98percent-1000ml-8850773510327,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-passion-fruit-1000ml-8850773510273,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-aor-jao-safflower-mixed-lotus-root-pandanus-jasmine-sappan-200ml-pack-4-8850773511669,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikam-jiaogulan-and-safflower-drink-with-steviol-glycoside-500ml-8850773510594,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-sam-gler-herbal-drink-500ml-8850773511362,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-mango-juice-100percent-1000ml-8850773510334,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-ice-pop-mamuang-hug-saowarot-85ml-pack-6-8850773690043,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
